Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined
1096681,Теле-2,"г. Ханты-Мансийск, ул. Энгельса, д. 1",,1096681_ESL-SES,Нет активной поддержки,Ханты-Мансийский филиал Т2 МОБАЙЛ ООО,1 096 681
112477,Теле-2,"г. Екатеринбург, ул. Амундсена, д. 65",,112477_ESL-SES,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,112 477
113384,Теле-2,"г. Екатеринбург, ул. Академика Шварца, д. 17",,113384_ESL-SES,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,113 384
123443,Теле-2,"г. Екатеринбург, ул. 8 Марта, д. 46",,123443_ESL-ZKong,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,123 443
1092824,Теле-2,"г. Екатеринбург, ул. Краснолесья, д. 133, ТЦ Академический",,1092824_ESL-SES,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,1 092 824
780178,Теле-2,"г. Екатеринбург, ул. Вайнера, д.9А",,780178_ESL-ZKong,На поддержке,Екатеринбургский филиал Т2 МОБАЙЛ ООО,780 178
771319,Теле-2,"г. Каменск-Уральский, пр-т Победы, д. 11А",,771319_ESL-ZKong,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,771 319
122016,Теле-2,"г. Каменск-Уральский, ул. Суворова, д. 24",,122016_ESL-ZKong,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,122 016
118153,Теле-2,"г. Новоуральск, Первомайская 87",,118153_ESL-ZKong,Нет активной поддержки,Екатеринбургский филиал Т2 МОБАЙЛ ООО,118 153
852296,Теле-2,"г. Оренбург, пр-т Дзержинского, д. 23",,852296_ESL-SES,Нет активной поддержки,Оренбургский филиал ООО “Т2 Мобайл”,852 296
900929,Теле-2,"г. Оренбург, пр-т Гагарина, д. 48",,900929_ESL-SES,Нет активной поддержки,Оренбургский филиал ООО “Т2 Мобайл”,900 929
876649,Теле-2,"г. Оренбург, пр-т Победы, д. 1А",,876649_ESL-SES,Нет активной поддержки,Оренбургский филиал ООО “Т2 Мобайл”,876 649
854536,Теле-2,"г. Оренбург, ул. Новая, д. 4",,854536_ESL-SES,На поддержке,Оренбургский филиал ООО “Т2 Мобайл”,854 536
755198,Теле-2,"Пермский Край, г. Березники, ул. Мира, д. 82",,755198_ESL-ZKong,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,755 198
1024729,Теле-2,"г. Краснокамск, Комсомольский пр-т, д. 20",,1024729_ESL-SES,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,1 024 729
1052156,Теле-2,"г. Пермь, Комсомольский пр-т, д. 58",,1052156_ESL-SES,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,1 052 156
1024733,Теле-2,"г. Пермь, ш. Космонавтов, д. 162",,1024733_ESL-SES,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,1 024 733
755183,Теле-2,"г. Пермь, Парковый пр-т, д. 17",,755183_ESL-SES,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,755 183
755182,Теле-2,"г. Пермь, ул. Мира, д. 41",,755182_ESL-SES,На поддержке,Пермский филиал Т2 МОБАЙЛ ООО,755 182
1011535,Теле-2,"г. Соликамск, ул. 20 лет победы, д. 117",,1011535_ESL-SES,Нет активной поддержки,Пермский филиал Т2 МОБАЙЛ ООО,1 011 535
914884,Теле-2,"г. Тобольск, 7 мкрн, д. 30 ,ТРЦ Жемчужина Сибири",,914884_ESL-SES,Нет активной поддержки,"Филиал ООО ""Т2 Мобайл"" в Тюменской и Курганской областях",914 884
1067191,Теле-2,"г. Тюмень, ул. Широтная, д. 112б, ТРЦ «Матрешка»",,1067191_ESL-SES,Нет активной поддержки,"Филиал ООО ""Т2 Мобайл"" в Тюменской и Курганской областях",1 067 191
1083371,Теле-2,"г. Тюмень, Московский тракт, д. 118, ТРЦ «Колумб»",,1083371_ESL-SES,Нет активной поддержки,"Филиал ООО ""Т2 Мобайл"" в Тюменской и Курганской областях",1 083 371
759099,Теле-2,"г. Тюмень, ул. Дмитрия Менделеева, д. 1",,759099_ESL-ZKong,Нет активной поддержки,"Филиал ООО ""Т2 Мобайл"" в Тюменской и Курганской областях",759 099
1067192,Теле-2,"г. Тюмень, ул. Пермякова, д. 50Б",,1067192_ESL-SES,На поддержке,"Филиал ООО ""Т2 Мобайл"" в Тюменской и Курганской областях",1 067 192
1086737,Теле-2,"г. Копейск, пр-т Славы, д. 8",,1086737_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",1 086 737
64048,Теле-2,"г. Магнитогорск, пр-т Карла Маркса, д. 168 (бывший Завенягина 10)",,64048_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",64 048
18781,Теле-2,"г. Магнитогорск, пр-т Карла Маркса, д. 109",,18781_ESL-ZKong,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",18 781
854532,Теле-2,"г. Миасс, пр-т Автозаводцев, д. 65",,854532_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",854 532
18914,Теле-2,"г. Миасс, пр-т Автозаводцев, д. 23",,18914_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",18 914
1001464,Теле-2,"г. Челябинск, ул. Черкасская, д. 15",,1001464_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",1 001 464
759349,Теле-2,"г. Челябинск, ул. Дарвина, д. 18",,759349_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",759 349
754332,Теле-2,"г. Челябинск, ул. Кирова, д. 1Б",,754332_ESL-ZKong,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",754 332
65089,Теле-2,"г. Челябинск, Комсомольский пр-т, д. 34Б",,65089_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",65 089
7623,Теле-2,"г. Челябинск, ул. Сони Кривой, д. 32",,7623_ESL-SES,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",7 623
53440,Теле-2,"г. Златоуст,  ул. Гагарина, д. 10",,53440_ESL-ZKong,Нет активной поддержки,"Челябинский филиал ООО ""Т2 МОБАЙЛ""",53 440
762013,Теле-2,"г. Новый Уренгой, ул. Сибирская, д. 36",,762013_ESL-ZKong,На поддержке,"Ямало-Ненецкий филиал ООО ""Т2 Мобайл""",762 013
128201,Теле-2,"г. Новый Уренгой, ул. Подшибякина, д. 1, ТЦ Гудзон",,128201_ESL-ZKong,На поддержке,"Ямало-Ненецкий филиал ООО ""Т2 Мобайл""",128 201
