Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined
889402,Теле-2,"г. Владивосток, пр-т 100-летия Владивостоку, д. 43",,889402_ESL-SES,На поддержке,"Приморский филиал ООО Т2 Мобайл""",889 402
738936,Теле-2,"г. Владивосток, ул. Луговая, д. 18",,738936_ESL-SES,На поддержке,"Приморский филиал ООО Т2 Мобайл""",738 936
78865,Теле-2,"г. Южно-Сахалинск, ул. Ленина, д. 196",,78865_ESL-SES,На поддержке,"Сахалинский филиал ООО ""Т2 Мобайл""",78 865
1002168,Теле-2,"г. Улан-Удэ, ул. Ленина , д. 26",,1002168_ESL-SES,На поддержке,Бурятский филиал Т2 МОБАЙЛ ООО,1 002 168
741366,Теле-2,"г. Улан-Удэ, ул. Жердева, д. 104",,741366_ESL-SES,На поддержке,Бурятский филиал Т2 МОБАЙЛ ООО,741 366
747383,Теле-2,"Иркутская обл., г. Ангарск, 8-й мкрн,, д. 1",,747383_ESL-ZKong,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 383
746835,Теле-2,"Иркутская обл., г. Ангарск, квартал 58, д. 1",,746835_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,746 835
747392,Теле-2,"г. Иркутск, ул. Ленина, д. 25",,747392_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 392
812134,Теле-2,"г. Иркутск, ул. Литвинова, д. 17",,812134_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,812 134
113657,Теле-2,"г. Иркутск,ул. Сергеева, д. 3/5",,113657_ESL-ZKong,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,113 657
1018178,Теле-2,"г. Иркутск,  Юбилейный мкрн, д. 19/1",,1018178_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,1 018 178
747395,Теле-2,"г. Иркутск, ул. Свердлова, д. 36",,747395_ESL-SES,На поддержке,Иркутский филиал Т2 МОБАЙЛ ООО,747 395
1133182,Теле-2,"г. Хабаровск, ул. Пионерская, д. 2-В",,1133182_ESL-SES,На поддержке,Хабаровский филиал Т2 Мобайл,1 133 182
1125920,Теле-2,"г. Хабаровск, ул. Муравьева-Амурского, д. 31",,1125920_ESL-SES,На поддержке,Хабаровский филиал Т2 Мобайл,1 125 920
29420,Теле-2,"г. Александров, ул. Ленина, д. 7 ",,29420_ESL-SES,На поддержке,"Владимирский филиал ООО ""Т2 Мобайл""",29 420
21008,Теле-2,"г. Ковров, пр-т Ленина, д. 59",,21008_ESL-SES,На поддержке,"Владимирский филиал ООО ""Т2 Мобайл""",21 008
20900,Теле-2,"г. Калуга, ул. Кирова, д. 46",,20900_ESL-SES,На поддержке,"Калужский филиал ООО ""Т2 Мобайл""",20 900
993207,Теле-2,"г. Калуга, ул. Кирова, д. 13",,993207_ESL-SES,На поддержке,"Калужский филиал ООО ""Т2 Мобайл""",993 207
996429,Теле-2,"г. Рязань, ул. Новоселов, д. 30А",,996429_ESL-SES,На поддержке,"Рязанский филиал ООО ""Т2 Мобайл""",996 429
" Б/Н",Теле-2,"г. Рязань, Московское ш., д.65А",," Б/Н_",Архивный,"Рязанский филиал ООО ""Т2 Мобайл"""," Б/Н"
1004742,Теле-2,"г. Смоленск, ул. Желябова, д. 1 ТЦ ""Байкал"" ",,1004742_ESL-SES,Архивный,"Смоленский филиал ООО ""Т2 Мобайл""",1 004 742
1067325,Теле-2,"г. Смоленск, пр-т Гагарина, д. 1",,1067325_ESL-SES,Нет активной поддержки,"Смоленский филиал ООО ""Т2 Мобайл""",1 067 325
989315,Теле-2,"г. Иваново, ул. Строителей, д. 25",,989315_ESL-SES,Архивный,Ивановский филиал Т2 МОБАЙЛ ООО,989 315
28678,Теле-2,"г. Богородицк, ул. Ленина, д.12",,28678_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",28 678
1001973,Теле-2,"г. Тула, ул. Аркадия Шипунова, д. 1Г (Глобус) -",,1001973_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",1 001 973
1001790,Теле-2,"г. Тула, ул . Металлургов, д.62а",,1001790_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",1 001 790
128202,Теле-2,"г. Тула, ул. Пролетарская, д. 2",,128202_ESL-ZKong,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",128 202
77705,Теле-2,"г. Тула, ул. Демонстрации, д. 1Г",,77705_ESL-SES,На поддержке,"Тульский филиал ООО ""Т2 Мобайл""",77 705
1000878,Теле-2,"г. Тула, Красноармейский пр-т, д. 2",,1000878_ESL-SES,На поддержке,"Тульский филиал ООО ""Т2 Мобайл""",1 000 878
998406,Теле-2,"г. Тула, ул. Советская, д. 47",,998406_ESL-SES,Архивный,"Тульский филиал ООО ""Т2 Мобайл""",998 406
53113,Теле-2,"г. Узловая, ул. Беклемищева, д. 40",,53113_ESL-SES,Нет активной поддержки,"Тульский филиал ООО ""Т2 Мобайл""",53 113
889404,Теле-2,"г. Архангельск, Ленинградский, 38 - модуль ",,889404_ESL-SES,Архивный,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",889 404
118154,Теле-2,"г. Архангельск, Ленинградский пр-т, д. 255",,118154_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",118 154
122008,Теле-2,"г. Архангельск, Воскресенская ул., д. 20, ТЦ Титан Арена",,122008_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",122 008
114419,Теле-2,"г. Архангельск, Ленинградский пр-т, д. 38 ТРЦ Макси",,114419_ESL-ZKong,На поддержке,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",114 419
825255,Теле-2,"г. Северодвинск, ул. Ленина, д. 35",,825255_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",825 255
137744,Теле-2,"г. Северодвинск, Морской пр. 70",,137744_ESL-ZKong,Нет активной поддержки,"Архангельский филиал ООО ""Т2 МОБАЙЛ""",137 744
107761,Теле-2,"г. Вологда, ш. Окружное, д. 12, ТЦ ""РИО”",,107761_ESL-SES,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",107 761
854537,Теле-2,"г. Вологда,ул. Карла Маркса, д. 105",,854537_ESL-ZKong,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",854 537
808232,Теле-2,"г. Череповец, ул. Победы, д. 200",,808232_ESL-SES,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",808 232
116412,Теле-2,"г. Череповец, Октябрьский пр-т, д. 25",,116412_ESL-ZKong,Нет активной поддержки,"Вологодский филиал ООО ""Т2 Мобайл""",116 412
104112,Теле-2,"г. Санкт-Петербург, ул. Брантовская дорога, д.3   mt49 мт",,104112_ESL-SES,Нет активной поддержки,,104 112
1067836,Теле-2,"г. Калининград, п. Орловка, Приморское кольцо, Балтия Молл",,1067836_ESL-SES,Архивный,"Калининградский филиал ООО ""Т2 Мобайл""",1 067 836
131970,Теле-2,"г. Калининград, Советский пр-т, д. 8, ТЦ Спар",,131970_ESL-ZKong,Нет активной поддержки,"Калининградский филиал ООО ""Т2 Мобайл""",131 970
1121867,Теле-2,"г. Мурманск, ул. Ленинградская, д. 20/3, ТЦ «Волна». -",,1121867_ESL-SES,Нет активной поддержки,"Мурманский филиал ООО ""Т2 Мобайл""",1 121 867
64339,Теле-2,"г. Мурманск, пр-т Ленина, д. 74",,64339_ESL-ZKong,Нет активной поддержки,"Мурманский филиал ООО ""Т2 Мобайл""",64 339
1001795,Теле-2,"г. Мурманск, пр-т Ленина, д. 32 ТЦ Молл -",,1001795_ESL-SES,На поддержке,"Мурманский филиал ООО ""Т2 Мобайл""",1 001 795
1121407,Теле-2,"г. Великий Новгород, ул. Ломоносова, д. 29, ТЦ Мармелад",,1121407_ESL-SES,Нет активной поддержки,Новгородский филиал Т2 МОБАЙЛ ООО,1 121 407
839057,Теле-2,"г. Великий Новгород, ул. Большая Санкт-Петербургская, д. 130",,839057_ESL-ZKong,Нет активной поддержки,Новгородский филиал Т2 МОБАЙЛ ООО,839 057
25712,Теле-2,"г. Петрозаводск, ул. Ленина, д. 37",,25712_ESL-SES,Нет активной поддержки,"Петрозаводский филиал ООО ""Т2 Мобайл""",25 712
831096,Теле-2,"г. Петрозаводск, пр-т Ленина, д. 14",,831096_ESL-ZKong,Нет активной поддержки,"Петрозаводский филиал ООО ""Т2 Мобайл""",831 096
991417,Теле-2,"г. Псков, д. Борисовичи, ул. Завеличенская, д. 23,  ТРЦ ""Fjord Plaza"", пом. 1.1.32",,991417_ESL-SES,Нет активной поддержки,"Псковский филиал ООО ""Т2 Мобайл",991 417
948195,Теле-2,"г. Псков, ул. Яна Фабрициуса, д.5в",,948195_ESL-ZKong,На поддержке,"Псковский филиал ООО ""Т2 Мобайл",948 195
95715,Теле-2,"г. Гатчина, ул. Соборная, д. 10",,95715_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",95 715
937753,Теле-2,"г. Гатчина, Пушкинское ш., д. 15",,937753_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",937 753
50203,Теле-2,"г. Пушкин, ул. Оранжерейная, д. 23",,50203_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",50 203
742871,Теле-2,"г. Санкт-Петербург, ул. Комендантская, д. 1, ТЦ_Атмосфера",,742871_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",742 871
120732,Теле-2,"г. Санкт-Петербург, пр-т Просвещения, д. 19, ТЦ Норд",,120732_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",120 732
1017610,Теле-2,"г. Санкт-Петербург,  Славы 43",,1017610_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 017 610
1039115,Теле-2,"г. Санкт-Петербург, пр-т Просвещения , д. 74",,1039115_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 039 115
850522,Теле-2,"г. Санкт-Петербург, ул. Бухарестская, д. 89",,850522_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",850 522
114537,Теле-2,"г. Санкт-Петербург, ул. Ленсовета, д. 97А",,114537_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",114 537
127740,Теле-2,"г. Санкт-Петербург, ул. Бухарестская, д. 30",,127740_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",127 740
827944,Теле-2,"г. Санкт-Петербург, пр-т Большевиков, д. 18",,827944_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",827 944
77611,Теле-2,"г. Санкт-Петербург, Каменоостровский пр-т, д. 42",,77611_ESL-SES,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",77 611
930315,Теле-2,"г. Санкт-Петербург, Мурманское ш., 12-й км",,930315_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",930 315
914886,Теле-2,"г. Санкт-Петербург, ул. Коллонтай, д. 3",,914886_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",914 886
837896,Теле-2,"г. Санкт-Петербург, пр-т Ветеранов, д. 101",,837896_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",837 896
