Название,Сеть,Адрес,Оборудование в магазине,Статус поддержки,tClients,name_combined,Город,Column 11,lat,lon,регион,tInvoices
B032,Перекрёсток,"г. Волгоград, ул. Краснознаменская, дом 9",,,,B032,,,,,,
B220,Перекрёсток,"г. Волгоград, пр-т имени В.И. Ленина, 54 Б ",,,,B220,,,,,,
2598,Перекрёсток,"г. Краснодар, ул. Красная, 176   СМ вне АП",,,,2 598,,,,,,
B060,Перекрёсток,"М.о., р-п Нахабино, ул. Новая, 11А",,,,B060,,,,,,
B392,Перекрёсток,"г. Москва, Хорошевское шоссе, 16с3",,,,B392,,,,,,
B188,Перекрёсток,"г. Москва, Варшавское шоссе, 152 А",,,,B188,,,,,,
B127,Перекрёсток,"г. Москва,  ул. Каховка, 27",,,,B127,,,,,,
2719,Перекрёсток,"М.о., г. Балашиха, мкрн Железнодорожный, ул. Юбилейная, д. 6",,,,2 719,,,,,,
2760,Перекрёсток,"М.о., д. Давыдовское, стр. 63",,,,2 760,,,,,,
B539,Перекрёсток,"г. Краснодар, Западный обход, 41/2  СМ вне АП",,,,B539,,,,,,
2599,Перекрёсток,"г. Ставрополь, ул. Артема, 49",,,,2 599,,,,,,
2824,Перекрёсток,"г. Москва, ул. Народного ополчения, 24",,,,2 824,,,,,,
2572,Перекрёсток,"М.о., г. Красногорск, Подмосковный б-р д.9",,,,2 572,,,,,,
B229,Перекрёсток,"г. Санкт-Петербург, ул. Железноводская, Д. 68, Литер Б",,,,B229,,,,,,
B263,Перекрёсток,"г. Санкт-Петербург, ул.Большая Разночинная, Д.16, литер А",,,,B263,,,,,,
B087,Перекрёсток,"г. Санкт-Петербург, пр-кт. Богатырский, 54/32, лит. А",,,,B087,,,,,,
B112,Перекрёсток,"г. Санкт-Петербург, пр-т Художников, д. 13, к. 1, лит А",,,,B112,,,,,,
B512,Перекрёсток,"г. Санкт-Петербург, Мурино, ул. Романовская, 1/31",,,,B512,,,,,,
B084,Перекрёсток,"г. Санкт-Петербург, ул. Коллонтай, 30, корп. 1, лит. А",,,,B084,,,,,,
B086,Перекрёсток,"Л.о., г. Кудрово, пр-кт. Европейский, 21, стр. 2",,,,B086,,,,,,
B337,Перекрёсток,"г. Мурманск, пр-кт. Кирова, д. 51А",,,,B337,,,,,,
B345,Перекрёсток,"Мурм. обл., г. Кола, ул. Защитников Заполярья, д.13",,,,B345,,,,,,
2751,Перекрёсток,"г. Санкт-Петербург, Лыжный переулок, д.6",,,,2 751,,,,,,
B41L,Перекрёсток,"г. Санкт-Петербург, Планерная ул., д. 59",,,,B41L,,,,,,
2270,Перекрёсток,"г. Санкт-Петербург, ул. Кораблестроителей, 31",,,,2 270,,,,,,
B339,Перекрёсток,"г. Мурманск, ул. Баумана, Д.33",,,,B339,,,,,,
B266,Перекрёсток,"г.Санкт-Петербург, ул. Оптиков д. 40/17, Литер А,, помещение 1Н, пом. 1-12",,,,B266,,,,,,
B338,Перекрёсток,"г. Мурманск, ул. Мира, 6",,,,B338,,,,,,
B346,Перекрёсток,"г. Апатиты, ул. Козлова, Д.10",,,,B346,,,,,,
B152,Перекрёсток,"г. Москва, Севастопольский пр-т 28, корп.2",,,,B152,,,,,,
